time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:07:8,123.119.224.124,40,10075190,515440,7410,379,27,27,57,180,42,217,260,397,8,94,252,81600,869399,1048576,3,0,3,0
19-00:25:28,114.244.162.133,3,10024444,144160,7372,106,18,18,56,172,19,230,260,377,20,176,287,81600,670103,745280,0,0,3,0
19-00:25:1,111.198.118.179,3,10024444,1698640,7373,1249,29,21,23,38,6,58,222,120000,2,14,32,81600,512208,528576,151,0,170,0
19-00:25:1,111.198.118.179,9,10024451,1777520,7374,1307,26,26,27,46,5,52,227,120000,2,16,134,81600,682626,701760,153,0,158,0
19-00:38:13,111.197.189.27,3,10075198,320960,7411,236,13,12,90,262,33,335,320,597,20,252,436,81600,739336,1048576,0,0,4,0
19-00:40:24,111.205.211.26,55,10114316,3166012,7439,2328,31,28,57,156,35,212,263,549,5,141,442,13632,476036,522944,11,8,10,1
19-00:41:49,125.34.55.132,3,10852838,17680,7981,13,0,58,248,693,98,1523,556,2256,20,84,135,81600,869851,1048576,5,0,10,0
19-00:43:28,61.49.237.122,3,10024444,44764,7371,33,20,20,66,154,21,120,265,354,6,77,120,13632,493713,522944,0,0,5,0
19-00:43:28,61.49.237.122,3,10024451,57120,7373,42,39,34,71,173,25,160,270,373,6,72,114,13632,497450,587520,0,0,4,0
19-00:51:28,114.254.112.38,3,10873044,80240,7998,59,15,15,30,73,18,99,230,273,20,130,162,81600,628430,666432,0,0,1,0
19-00:55:49,125.35.70.82,3,10114316,2204560,7438,1621,16,13,17,81,11,544,230,1102,3,14,74,81600,509382,573952,171,1,186,13
19-01:34:57,123.120.234.141,3,10476951,8160,7707,6,28,20,44,74,37,262,247,332,10,85,192,0,560167,1048576,0,0,1,0
19-01:48:46,111.199.43.104,3,10024451,103360,7374,76,20,20,124,401,43,414,362,854,20,293,435,2304,354316,525824,0,0,2,0
19-01:52:58,111.199.43.104,3,10024444,0,7373,0,85,37,125,350,55,514,412,880,20,323,435,19456,397515,525824,0,0,0,0
19-02:14:39,114.245.34.235,3,10028193,584800,7376,430,31,31,246,414,56,436,477,848,20,116,302,81600,571161,614720,0,0,5,0
19-02:24:36,123.123.157.137,3,10024451,269280,7372,198,14,14,79,556,52,540,314,1441,11,97,159,2304,807158,1051008,1,0,3,0
19-02:26:31,111.201.245.20,3,10024451,29920,7374,22,24,24,78,120,13,65,278,320,20,202,241,81664,251612,262400,0,0,2,0
19-02:26:31,111.201.245.20,3,10024444,0,7373,0,36,36,89,129,15,72,289,329,20,226,243,81664,252860,263936,0,0,0,0
19-03:12:37,61.49.122.47,3,10114316,1360,7437,1,21,21,59,108,26,177,258,308,20,372,436,2944,338892,522944,0,0,0,0
19-04:02:25,123.121.204.71,3,10114316,469200,7437,345,23,23,58,251,24,286,260,480,14,22,162,13632,504979,522944,59,0,61,0
19-04:37:15,123.119.167.38,3,10028193,189040,7376,139,27,27,56,196,33,219,259,415,20,121,187,81600,943851,1048576,0,0,4,0
19-06:02:46,114.240.192.9,127,10320293,1430356,7310,1013,18,18,388,1592,156,2088,1027,120000,5,91,245,29248,468540,525696,3,0,7,1
19-06:30:8,114.244.20.238,3,10028193,70720,7377,52,23,23,344,1187,106,1660,1127,2847,20,227,244,81664,255823,263936,0,0,0,0
19-06:30:8,114.244.20.238,3,10028185,51680,7376,38,24,24,337,1179,117,1453,1106,3042,20,222,244,81664,255824,263936,0,0,0,0
19-06:34:1,123.119.0.26,3,10028193,0,7376,0,29,29,73,143,15,209,274,346,20,225,243,81664,253479,263936,0,0,0,0
19-06:34:1,123.119.0.26,3,10028185,0,7376,0,29,29,73,143,15,174,272,343,20,225,244,81664,253599,263936,0,0,0,0
19-06:42:10,61.148.243.254,3,10236527,0,7534,0,23,23,266,966,33,363,526,1305,20,698,1593,81664,1189205,2095872,0,0,0,0
19-06:42:10,61.148.243.254,3,10236534,0,7530,0,32,32,326,979,28,339,589,1318,20,683,1593,81664,1124565,2095872,0,0,0,0
19-06:48:3,123.118.32.14,3,10114316,13521,7439,10,26,26,114,335,38,444,405,734,20,385,567,81600,536824,704512,0,0,0,0
19-06:51:18,114.246.174.118,3,10024451,1360,7374,1,17,17,231,809,96,700,604,1536,20,334,433,81600,468385,522944,0,0,0,0
19-06:51:53,111.194.34.58,3,10024444,442000,7372,325,17,17,56,140,22,101,255,340,20,83,229,13696,960510,1047296,0,0,5,0
19-06:51:53,111.194.34.58,3,10024451,325040,7371,239,16,16,57,143,21,103,257,343,20,86,164,13696,958408,1047296,0,0,4,0
19-06:53:58,114.241.4.251,3,10852838,1700076,7981,1252,22,20,31,220,16,224,234,420,7,43,265,13632,705474,1048576,10,0,23,0
19-07:28:47,111.192.129.187,3,10024451,238000,7374,175,32,32,171,295,39,202,372,497,20,306,436,81600,789234,1048576,0,0,3,0
19-07:40:34,123.116.246.53,3,10114316,404640,7025,281,16,16,94,216,91,417,348,603,20,357,775,0,528659,1048576,0,0,3,0
19-07:41:28,123.120.81.57,69,10024451,390320,7375,287,17,16,98,1584,75,1762,415,3380,16,83,209,81600,999139,1048576,8,0,9,0
19-07:41:28,123.120.81.57,3,10024444,250240,7373,184,28,28,124,1615,100,1651,459,3266,10,85,138,81600,847890,881280,1,0,10,0
19-07:58:29,123.118.52.46,8,10476951,61200,7706,45,26,26,370,2407,215,4404,1508,6901,1,159,243,81664,256625,263936,4,2,3,0
19-08:01:45,123.121.179.72,3,10024451,529104,7374,390,12,12,31,198,21,222,234,420,10,77,229,61248,823976,1048576,1,0,7,0
19-08:02:9,61.148.192.34,24,10852845,299784,8350,231,26,26,104,480,49,591,346,951,5,32,104,81600,508149,522944,233,1,26,4
19-08:14:46,114.245.131.138,3,10911415,139290,7581,97,25,22,39,62,9,72,238,262,20,270,411,87616,477268,525760,0,0,4,0
19-08:15:32,123.120.192.231,3,10028193,341360,7377,251,17,17,208,251,29,268,412,513,19,29,81,81600,519259,612032,19,0,25,0
19-08:20:18,111.200.200.104,3,10024451,64500,7374,48,0,168,1064,5378,533,5322,2589,9119,20,110,162,81600,645068,835072,0,0,5,0
19-08:23:35,125.34.94.0,3,10024444,20400,7373,15,0,55,226,2053,56,1743,597,3796,20,111,360,81600,771536,1048576,0,0,2,0
19-08:24:36,114.249.19.138,127,10028185,856800,7376,630,22,21,77,763,64,1041,451,2221,13,168,714,10496,871406,1048576,3,1,3,0
19-08:24:36,114.249.19.138,3,10028193,1048560,7377,771,22,22,65,746,49,865,365,2107,7,94,416,38144,963771,1048576,1,0,7,0
19-08:25:16,114.253.141.148,3,10114316,186320,7437,137,13,13,50,119,9,160,250,319,20,249,433,13632,433472,522944,1,0,3,0
19-08:31:43,111.197.154.207,3,10441751,146848,7193,104,15,15,831,5623,306,5756,1564,11379,9,53,175,17012,107359,232320,1,0,5,0
19-08:34:43,61.149.204.94,127,10028193,769600,7716,592,29,29,367,1803,123,2015,775,3316,5,63,299,81600,764938,850048,18,0,18,1
19-08:39:18,111.204.210.194,3,10319650,4566526,7975,3529,24,24,37,301,48,1283,330,1534,5,11,30,13632,493296,522944,106,0,163,6
19-08:41:49,114.253.131.192,3,10114316,34000,7437,25,19,19,36,96,20,143,236,296,20,140,431,13696,904203,1049984,0,0,1,0
19-08:41:56,111.197.214.243,3,10852845,29920,7983,22,26,25,77,242,32,301,284,493,20,139,193,81664,193818,197120,0,0,1,0
19-08:41:56,111.197.214.243,3,10852838,12240,7981,9,36,35,88,289,29,295,296,535,20,177,195,81664,194889,198656,0,0,1,0
19-08:45:1,114.246.152.162,127,10028185,930240,7376,684,0,275,802,1119,58,618,1084,120000,2,81,232,81600,825329,908480,6,0,7,1
19-08:45:1,114.246.152.162,127,10028193,852720,7376,627,0,319,747,1107,69,1249,1081,120000,2,69,167,81600,575698,612032,2,0,5,1
19-08:48:48,114.243.128.144,3,10028193,80240,7375,59,14,14,41,185,28,332,260,512,20,150,248,81600,867772,1048576,0,0,3,0
19-08:48:48,114.243.128.144,3,10028185,17680,7376,13,23,23,41,194,32,271,254,512,20,114,188,81600,626323,742592,0,0,2,0
19-08:51:52,111.194.66.44,3,10024444,1107040,7371,814,16,16,95,337,41,415,331,751,20,147,434,13632,485701,538560,0,0,6,0
19-08:51:52,111.194.66.44,3,10024451,723520,7372,532,21,21,80,392,38,552,313,953,20,106,301,13632,810541,884032,0,0,7,0
19-09:05:49,114.254.220.118,3,10429739,374000,7672,275,36,36,157,203,14,91,357,403,20,73,179,81664,259140,263936,0,0,7,0
19-09:08:5,61.148.242.1,3,10075198,2388160,7412,1756,74,74,526,1128,50,208,734,1346,20,553,1424,81664,1243155,2095872,0,0,2,0
19-09:17:3,114.247.10.156,3,10953194,0,8427,0,0,121,484,1159,90,491,733,1589,20,185,351,0,167879,390016,0,0,0,0
19-09:18:38,111.201.172.158,3,10114316,295120,7439,217,20,17,73,172,36,183,272,372,20,355,605,3584,476261,1048576,0,0,1,0
19-09:17:57,114.241.135.55,3,10677091,24044168,7629,17175,12,10,10,12,3,24,210,212,6,7,30,65792,261788,262144,13,0,25,0
19-09:19:9,123.119.236.46,3,10024444,3063159,7373,2258,26,26,64,191,49,352,275,549,5,12,32,81600,503651,538560,78,0,144,1
19-09:20:50,61.148.244.116,3,10911408,0,8025,0,29,28,141,366,20,87,341,566,20,769,1592,81664,1266133,2095872,0,0,0,0
19-09:20:25,114.242.249.96,3,10335211,76720,7624,65,19,19,20,27,7,54,220,227,20,113,286,0,11703,412800,0,0,0,0
19-09:23:18,111.199.74.211,3,10028185,450160,7376,331,13,13,38,224,19,332,247,585,18,77,333,81600,621738,666432,0,0,9,0
19-09:23:18,111.199.74.211,3,10028193,648720,7377,477,26,22,47,230,20,270,257,584,19,91,322,81600,963439,1048576,0,0,10,0
19-09:30:24,114.249.102.90,3,10283255,252960,7564,186,77,24,78,158,37,310,304,387,20,306,485,81600,575723,1048576,0,0,3,0
19-09:32:47,111.205.120.133,3,10114316,0,7439,0,156,34,112,172,79,498,428,654,20,550,822,81600,768977,1048576,0,0,0,0
19-09:38:24,114.241.186.1,10,10852838,3219008,7981,2367,27,24,30,92,14,181,231,508,6,14,34,81600,805394,1048576,94,0,105,0
19-09:40:34,123.114.188.41,3,10024451,12240,7374,9,23,23,111,212,17,107,311,412,20,216,241,81664,251612,262400,0,0,1,0
19-09:40:41,202.106.86.140,3,10024451,121040,7374,89,23,20,36,97,11,116,235,297,19,48,193,81664,195437,197120,5,0,18,0
19-09:48:2,114.243.167.113,3,10550169,662320,7758,487,20,19,30,66,16,107,230,266,10,18,65,13632,505564,522944,67,0,90,0
19-09:51:57,61.51.164.187,3,10024444,0,7373,0,14,13,201,272,24,145,401,472,20,227,245,81664,252860,263936,0,0,0,0
19-10:03:54,114.242.135.67,3,10024287,2974362,6868,2039,16,13,16,31,6,66,216,231,6,12,36,58400,64240,64240,75,0,120,0
19-10:07:13,114.254.146.213,3,10852845,114240,7983,84,15,15,31,179,16,273,234,391,12,65,434,81600,839328,889472,3,0,15,0
19-10:08:41,123.116.166.178,127,10250083,4915040,7537,3614,16,16,342,2584,184,2331,1410,7285,5,139,631,13632,721412,790528,9,0,9,1
19-10:11:3,123.117.39.112,3,10024444,8398913,7374,6176,13,13,19,209,15,547,229,973,5,10,85,81600,513813,522944,38,0,107,1
19-10:11:3,123.117.39.112,3,10024451,6426064,7374,4726,25,24,31,723,26,2008,268,3120,5,11,57,81600,511580,522944,62,1,141,1
19-10:11:52,111.203.169.224,42,10024444,227120,7373,167,28,24,46,136,14,172,245,336,18,89,221,5120,238970,263936,47,0,19,0
19-10:12:39,123.120.136.249,3,10610203,164560,7803,121,27,27,156,221,17,137,356,421,20,74,158,81664,195991,198656,0,0,6,0
19-10:12:51,114.245.238.248,34,10873044,399840,7995,294,0,115,463,2260,403,3039,1371,6951,5,42,116,13696,961255,1047296,17,1,26,2
19-10:17:13,111.199.131.216,110,10024451,413440,7374,304,31,30,68,191,17,241,273,432,20,175,242,81664,252590,262400,0,0,2,0
19-10:14:42,61.50.225.224,3,10058627,5036949,7290,3653,0,116,127,143,12,319,334,744,5,11,32,66240,66240,66240,98,0,95,12
19-10:17:48,114.242.249.176,3,10911408,4592,8027,5,16,16,17,20,7,32,217,220,20,354,408,256,117005,597504,0,0,0,0
19-10:19:0,111.198.27.45,3,10028193,184320,6965,128,23,23,70,140,35,194,271,340,20,176,312,84480,847641,4194240,0,0,5,0
19-10:19:0,111.198.27.45,3,10028185,141120,6965,98,24,24,69,148,36,202,271,359,20,152,213,84480,746958,4194240,0,0,4,0
19-10:20:54,182.18.76.163,3,10028193,286960,7377,211,0,109,131,371,33,555,368,910,5,52,157,81600,721931,767040,6,0,17,1
19-10:20:54,182.18.76.163,71,10028185,341360,7376,251,108,108,139,370,51,624,397,994,5,31,155,81600,586330,617472,12,0,30,1
19-10:21:43,125.34.1.189,3,10024451,333200,7374,245,15,15,173,353,34,215,374,553,20,476,752,81600,673296,1048576,0,0,1,0
19-10:21:43,125.34.1.189,3,10024444,246160,7373,181,20,20,184,377,48,213,385,577,20,439,821,81600,636394,1048576,0,0,1,0
19-10:24:35,123.117.82.211,3,10024451,80240,7374,59,22,22,102,221,36,150,302,421,20,459,821,81600,650459,1048576,2,0,2,0
19-10:30:46,111.194.24.52,3,10491219,1119280,7716,823,23,23,48,171,18,286,257,416,7,103,434,13632,744466,1047488,0,0,7,0
19-10:35:17,111.194.47.25,3,10028193,59840,7375,44,15,15,356,510,60,280,564,717,20,366,466,81600,522218,1048576,0,0,1,0
19-10:35:17,111.194.47.25,3,10028185,27200,7376,20,13,13,331,510,59,313,552,756,20,349,433,81600,521649,1048576,0,0,1,0
19-10:41:22,123.120.216.212,3,10024451,161280,7374,120,0,26,105,188,43,296,311,448,10,43,139,81600,744366,1048576,2,0,12,0
19-10:42:43,123.116.162.58,3,10911415,14400,7581,10,23,22,46,97,22,68,245,297,20,87,190,2560,621714,1048576,0,0,2,0
19-10:43:17,61.49.79.112,3,10953194,68000,8056,50,60,26,51,82,23,242,258,302,20,193,271,81600,707814,858176,0,0,3,0
19-10:43:25,111.193.155.206,3,10024451,813280,7374,598,0,15,48,264,43,770,291,1090,6,75,223,81664,511272,525824,1,0,11,0
19-10:45:15,123.123.168.43,56,10024451,1028160,7374,756,17,17,51,412,23,339,267,751,11,94,303,81600,748891,932992,5,0,8,0
19-10:45:15,123.123.168.43,11,10024444,716720,7372,527,24,24,46,394,23,349,257,743,9,64,252,81600,990818,1048576,3,0,7,0
19-10:46:12,111.200.23.2,21,10028193,1852320,7375,1362,172,22,75,675,75,846,339,1233,5,29,179,13632,502703,522944,21,0,48,1
19-10:46:12,111.200.23.2,3,10028185,1806080,7374,1328,0,24,71,696,63,658,319,1243,6,26,192,13632,508718,522944,23,0,51,0
19-10:46:26,123.121.122.191,3,10024451,31280,7373,23,48,48,407,1884,169,3268,1275,5152,20,189,198,81664,194425,198656,0,0,0,0
19-10:47:27,111.193.155.206,3,10024451,420240,7374,309,15,14,42,207,48,744,296,888,6,77,311,81664,512333,526080,1,1,14,0
19-10:50:46,202.106.86.13,3,10097287,1315460,6918,901,21,19,22,24,4,42,222,224,6,14,56,65536,261570,262144,148,0,170,0
19-10:52:46,123.125.26.226,3,10024444,6800,7373,5,57,30,169,561,42,352,394,913,20,182,245,81664,254632,263936,4,0,3,0
19-10:52:46,123.125.26.226,3,10024451,6800,7374,5,26,25,167,572,39,379,407,926,20,173,242,81664,253450,262400,2,0,4,0
19-10:54:38,114.247.79.143,10,10024451,226200,7713,174,41,38,58,114,30,162,257,314,10,25,132,81600,512681,522944,97,0,55,0
19-10:56:6,111.199.176.246,3,10024444,855440,7372,629,13,13,16,59,5,55,216,259,7,34,243,38912,257061,263936,44,0,53,0
19-10:56:6,111.199.176.246,3,10024451,1018640,7374,749,18,18,22,58,6,52,221,258,6,39,242,24576,256282,263936,27,0,38,0
19-10:57:9,123.121.127.216,3,10114316,0,7226,0,32,31,241,343,20,91,441,543,20,355,423,87616,467277,525632,0,0,0,0
19-10:56:51,114.242.248.22,3,10024444,118992,7400,101,12,11,12,18,5,41,212,218,20,35,137,0,5874,150784,0,0,0,0
19-11:01:44,114.254.144.20,127,10028185,1385840,7375,1019,44,39,1998,7525,1057,9010,4556,21543,5,160,434,81600,850275,1048576,7,0,6,2
19-11:04:22,111.194.101.231,3,10114316,34000,7437,25,26,26,97,265,24,234,301,474,20,361,556,13632,423332,688192,0,0,1,0
19-11:01:44,114.254.144.20,112,10028193,1223484,7377,904,37,37,1368,6208,865,8087,3575,23301,5,86,171,81600,648681,1048576,10,0,8,1
19-11:05:47,123.117.54.116,3,10024444,567120,7372,417,20,20,63,114,14,66,263,314,6,193,433,81600,829001,1048576,1,0,4,0
19-11:05:47,123.117.54.116,3,10024451,715360,7374,526,22,22,58,108,14,91,257,308,20,156,376,81600,910096,1048576,1,0,4,0
19-11:07:36,125.33.68.127,127,10429739,1481040,7669,1089,32,32,461,710,28,395,702,1105,20,212,548,13696,844723,1047296,0,0,1,0
19-11:08:56,114.242.250.243,3,10024451,10880,7374,8,11,11,12,16,5,28,212,216,20,170,241,1536,34157,314368,0,0,0,0
19-11:09:51,123.116.111.167,3,10024444,85680,7373,63,22,21,40,120,23,132,239,320,18,91,250,81600,916589,979200,0,0,7,0
19-11:10:36,114.249.210.61,3,10024444,12240,7373,9,24,24,129,244,21,140,329,444,20,233,433,81600,782789,987392,1,0,2,0
19-11:10:36,114.249.210.61,3,10024451,12240,7374,9,22,22,127,248,20,122,327,448,20,228,433,81600,738732,916672,0,0,2,0
19-11:16:14,124.65.148.66,15,10114316,1918800,7781,1476,32,29,58,181,37,228,260,445,6,14,43,13632,495361,522944,145,0,160,0
19-11:19:33,123.114.32.51,3,10386663,285224,7357,202,34,34,109,199,58,269,314,468,17,38,116,0,254964,261220,4,0,29,0
19-11:20:29,123.121.187.118,31,10028185,439280,7376,323,42,42,71,172,26,247,276,414,20,59,148,81600,504449,522944,11,0,12,0
19-11:20:29,123.121.187.118,3,10028193,134640,7376,99,54,54,78,171,28,241,284,420,20,48,131,81600,674644,1048576,3,0,10,0
19-11:29:14,114.242.248.150,3,10024451,244,7374,1,12,11,12,15,5,24,212,215,20,294,305,3072,63661,387840,0,0,0,0
19-11:29:14,114.242.248.150,3,10024444,2161,7373,2,12,12,13,15,6,24,212,215,20,247,258,1536,67256,283904,0,0,0,0
19-11:34:19,61.48.187.70,3,10028470,12240,7377,9,17,16,130,239,28,151,330,439,20,334,440,81600,504457,927552,0,0,1,0
19-11:34:19,61.48.187.70,3,10028462,62560,7376,46,17,17,121,250,28,176,320,450,20,264,434,81600,782086,1048576,0,0,3,0
19-11:36:44,114.252.9.222,3,10873044,248880,7996,183,21,21,181,344,20,164,381,544,20,375,686,13632,982502,1572864,0,0,3,0
19-11:39:17,124.65.117.66,127,10024444,870400,7373,640,20,20,445,699,39,305,663,902,5,103,279,81600,929186,1048576,6,0,6,1
19-11:40:49,123.117.82.83,30,10024444,70200,7713,54,22,17,53,547,42,575,270,1064,6,37,112,81600,591080,843200,83,0,12,0
19-11:42:0,114.255.193.227,3,10429925,2607120,7671,1917,26,26,30,55,7,95,230,255,11,20,434,13632,507330,522944,58,0,62,0
19-11:45:17,61.51.83.244,3,10709406,425680,7876,313,0,59,135,293,27,334,348,545,20,56,136,13632,582741,707200,1,0,13,0
19-11:48:31,123.122.16.25,3,10491219,42160,7716,31,19,18,39,132,15,173,239,332,20,176,196,81664,194448,198656,0,0,1,0
19-11:51:0,111.196.23.62,3,10024451,424320,7373,312,14,14,78,198,28,148,278,398,20,165,361,81600,827560,954752,0,0,5,0
19-11:51:5,114.252.54.145,3,10953194,2720,8055,2,26,25,54,129,19,158,254,120000,2,188,196,81664,194720,198656,1,0,0,0
19-11:59:8,123.115.132.92,3,10024444,1847792,7372,1359,0,28,89,394,71,739,330,1028,6,22,73,81600,576464,756160,27,0,50,0
19-11:59:50,114.244.250.203,3,10911415,137360,8026,101,36,25,206,776,61,574,489,1305,14,130,231,81664,255224,262400,0,0,2,0
19-11:59:50,114.244.250.203,3,10911408,65280,8024,48,36,19,145,752,55,774,411,1425,16,84,245,81664,259984,263936,0,0,3,0
