time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-02:13:33,114.254.155.105,3,513669,768864,380,567,25,25,28,35,16,50,228,120000,6,34,41,81600,293936,522944,2,0,2,0
19-05:12:1,114.241.253.215,3,538560,0,374,0,23,23,37,82,24,82,237,282,20,66,195,14656,123251,484736,0,0,0,0
19-07:53:25,123.123.64.77,3,524812,15024,389,12,33,33,52,77,26,95,252,277,20,37,46,81600,355077,522944,0,0,2,0
19-07:51:49,123.112.111.38,3,517067,621520,381,457,28,28,4032,9188,3794,9848,11801,120000,9,24,38,81600,401493,522944,3,2,0,0
19-09:31:37,61.50.248.5,3,524811,0,361,0,14,13,14,14,8,28,213,214,20,73,137,5888,69390,131072,0,0,0,0
19-09:41:51,114.251.225.1,3,523234,512720,387,377,0,30,38,70,25,65,238,120000,2,65,232,81664,146432,262400,1,0,1,0
19-10:03:55,61.50.248.5,3,524821,0,361,0,18,18,18,19,10,36,218,219,20,74,137,5888,70030,131072,0,0,0,0
19-10:31:30,123.117.91.33,3,521280,563040,362,391,0,43,58,128,60,466,365,876,5,9,30,14720,118366,233600,12,0,6,9
19-10:57:9,61.50.248.5,3,524821,0,361,0,11,10,11,12,8,22,210,212,20,74,132,5888,72803,131072,0,0,0,0
19-11:23:16,123.124.222.66,3,534923,126480,395,93,17,16,209,483,75,268,436,751,20,47,123,81664,144793,198656,0,0,1,0
19-11:23:39,125.34.180.177,16,512640,421920,356,293,24,17,116,432,307,1275,859,1707,5,10,30,14656,217077,397120,7,0,8,2
19-11:34:59,61.50.248.5,3,524819,0,361,0,22,21,22,23,15,44,221,223,20,73,135,5888,67655,131072,0,0,0,0
19-11:56:4,114.250.138.163,3,548367,1412,390,1,17,17,1201,6957,250,8337,2925,16106,20,73,195,65728,233740,522880,1,1,0,0
19-12:40:13,61.149.204.106,18,522093,140221,360,100,0,287,418,593,194,843,1147,1677,7,15,30,65536,248100,262144,4,0,6,0
19-12:50:25,123.120.245.236,3,524812,640,362,1,158,29,100,162,296,743,716,901,20,65,165,14720,167125,784256,0,0,0,0
19-12:58:14,114.250.47.164,3,545131,0,380,0,19,19,30,42,34,61,230,242,20,110,160,0,119488,383168,0,0,0,0
19-13:04:36,123.115.163.103,3,513714,751491,379,556,0,124,890,2017,676,3268,2937,120000,5,41,91,81664,199058,263936,3,0,3,1
19-13:13:46,61.50.248.5,3,524832,0,361,0,11,10,11,12,9,22,211,212,20,75,136,5888,71381,131072,0,0,0,0
19-13:12:36,114.250.168.99,127,542640,1020000,399,750,0,713,1650,5146,980,10418,3114,120000,5,64,218,13696,111027,576640,2,0,1,1
19-13:51:1,114.249.11.104,3,533982,633760,396,466,0,1180,4020,9418,4132,16122,9964,120000,10,26,37,81664,210602,262400,4,2,4,0
19-14:03:33,114.113.127.182,3,545661,565058,376,394,0,126,135,142,29,252,393,760,5,10,30,129414,129913,129940,9,0,2,7
19-14:06:36,123.127.5.226,3,524169,27248,387,21,63,63,397,841,286,1008,982,1726,6,25,30,13632,289975,522944,0,0,4,0
19-14:20:58,114.249.236.93,3,547163,0,404,0,23,23,32,61,21,78,232,261,20,94,219,81600,240051,522944,0,0,0,0
19-14:32:17,123.127.184.1,33,547374,409216,398,298,0,671,763,811,141,1124,1485,2246,5,12,36,64860,64860,64860,7,3,3,1
19-14:47:43,123.113.3.205,3,545131,176064,380,126,0,45,4598,8988,3465,8234,9842,16802,6,69,143,768,123209,375616,0,0,1,0
19-15:21:3,61.148.28.234,3,532898,949404,367,653,0,261,633,856,631,1471,1965,4249,4,9,36,65535,65535,65535,21,0,4,18
19-15:35:14,114.249.236.93,3,549515,0,406,0,24,24,27,36,21,48,226,236,20,64,201,81600,226867,522944,0,0,0,0
19-15:42:54,111.192.31.139,3,541943,768,419,1,0,81,487,711,213,363,802,1074,20,121,186,0,119904,379904,0,0,0,0
19-16:09:59,114.245.57.154,3,521147,0,384,0,21,21,26,47,23,42,225,247,20,64,227,81664,148352,263936,0,0,0,0
19-16:17:17,114.250.144.213,29,500594,440640,349,306,0,513,1616,6772,3015,13073,7816,19845,6,33,76,87616,208576,398656,2,0,2,0
19-18:14:5,123.119.185.194,6,515633,3900,398,3,0,248,319,399,147,626,695,940,20,28,31,81600,402669,528576,4,0,2,0
19-18:50:32,123.124.23.233,7,533632,1141024,370,788,36,22,31,46,30,72,231,120000,1,28,57,66608,86719,247608,2,0,3,0
19-18:54:55,114.251.225.1,3,532418,338640,394,249,52,22,50,79,52,104,249,120000,1,40,53,81600,235296,515200,1,0,2,0
19-19:11:54,111.198.3.90,3,508907,2225606,375,1638,35,35,88,98,198,224,2023,12366,5,19,50,81664,225642,263936,7,0,5,1
19-19:26:41,123.126.24.86,3,515883,524960,381,386,18,18,23,51,13,64,223,251,6,14,78,81600,285756,413440,1,0,2,0
19-20:06:18,123.115.52.17,3,544075,155232,379,108,80,80,421,800,233,621,862,1421,20,93,199,0,128228,383040,0,0,1,0
19-20:08:46,123.115.52.17,3,545867,64,381,1,0,52,166,233,126,196,366,433,20,97,176,0,113232,383040,0,0,0,0
19-20:09:38,123.115.52.17,3,545867,64,381,1,42,34,160,267,150,249,377,496,20,99,183,0,112696,377664,0,0,0,0
19-20:11:51,123.115.52.17,3,545867,0,381,0,25,21,73,112,98,183,273,312,20,99,169,0,100359,383040,0,0,0,0
19-20:19:22,124.64.67.95,3,536510,118320,397,87,14,14,22,60,19,37,222,260,20,60,198,81664,146432,262400,0,0,1,0
19-20:58:14,114.242.249.62,3,524823,1270,384,1,19,19,20,21,13,38,219,221,20,112,140,5440,77162,135872,0,0,0,0
19-20:58:24,114.242.249.62,3,524829,4785,385,4,20,20,21,23,13,80,221,223,20,114,130,1536,38160,131072,0,0,0,0
19-20:58:26,114.242.249.62,3,524830,0,386,0,21,20,21,23,20,62,221,223,20,108,136,4992,90666,131072,0,0,0,0
19-20:58:32,114.242.249.62,3,524830,6824,387,6,21,20,21,23,10,48,221,223,20,38,129,0,27184,131072,0,0,0,0
19-20:58:46,114.242.249.62,3,524830,255,386,1,21,19,20,22,14,40,220,222,20,110,138,7936,78754,131072,0,0,0,0
19-20:58:47,114.242.249.62,3,524830,3787,384,3,21,18,21,23,17,38,220,223,20,111,134,2240,56118,131072,0,0,0,0
19-20:58:49,114.242.249.62,3,524830,0,384,0,21,19,20,22,17,38,220,222,20,105,130,3648,81109,131072,0,0,0,0
19-20:58:51,114.242.249.62,3,524830,1370,385,1,21,20,22,25,15,42,222,225,20,67,130,896,55018,131072,0,0,0,0
19-20:58:54,114.242.249.62,3,524830,2417,384,2,22,18,20,22,12,38,219,222,20,108,130,2496,75908,137536,0,0,0,0
19-20:58:55,114.242.249.62,3,524830,1047,384,1,22,20,21,23,14,40,221,223,20,100,128,58560,100253,131072,0,0,0,0
19-20:58:56,114.242.249.62,3,524830,0,384,0,21,18,20,22,16,38,220,222,20,106,128,3648,70153,131072,0,0,0,0
19-20:58:57,114.242.249.62,3,524830,1047,384,1,21,19,21,23,18,40,221,223,20,98,146,36224,110350,162880,0,0,0,0
19-20:58:58,114.242.249.62,3,524830,0,385,0,21,19,20,22,12,38,219,222,20,100,134,14592,94886,168832,0,0,0,0
19-20:58:59,114.242.249.62,3,524830,2417,384,2,21,20,22,24,14,42,221,224,20,113,132,2624,59828,205504,0,0,0,0
19-20:59:0,114.242.249.62,3,524830,0,384,0,22,19,21,23,14,40,220,223,20,109,144,3648,75318,214976,0,0,0,0
19-20:59:5,114.242.249.62,3,524830,1047,384,1,22,20,21,23,14,40,221,223,20,107,142,4800,99840,155584,0,0,0,0
19-20:59:5,114.242.249.62,3,524830,0,384,0,21,19,20,22,15,38,220,222,20,108,158,6400,106666,196224,0,0,0,0
19-20:59:6,114.242.249.62,3,524830,0,384,0,21,20,21,23,15,40,221,223,20,106,150,10496,97926,153280,0,0,0,0
19-20:59:7,114.242.249.62,3,524830,0,384,0,21,19,21,22,16,38,220,222,20,101,154,71104,118976,173760,0,0,0,0
19-20:59:8,114.242.249.62,3,524831,1370,384,1,21,19,20,22,15,38,220,222,20,101,144,1536,110563,190272,0,0,0,0
19-20:59:9,114.242.249.62,3,524832,1047,384,1,21,19,21,22,15,40,220,222,20,96,149,13248,108840,164160,0,0,0,0
19-20:59:10,114.242.249.62,3,524832,0,384,0,21,20,21,24,13,40,221,224,20,106,130,4992,76278,131072,0,0,0,0
19-20:59:10,114.242.249.62,3,524832,1047,384,1,21,19,20,22,14,40,220,222,20,104,162,14592,115015,191872,0,0,0,0
19-20:59:11,114.242.249.62,3,524832,0,384,0,21,20,21,23,15,40,221,223,20,104,138,22784,97651,131072,0,0,0,0
19-20:59:12,114.242.249.62,3,524832,0,384,0,21,20,21,23,14,40,221,223,20,111,164,10496,108377,191872,0,0,0,0
19-20:59:12,114.242.249.62,3,524832,0,384,0,21,20,21,23,14,42,221,223,20,103,126,3648,81521,165760,0,0,0,0
19-20:59:13,114.242.249.62,3,524832,1370,384,1,21,19,20,22,13,38,220,222,20,113,130,2240,51681,131072,0,0,0,0
19-20:59:15,114.242.249.62,3,524832,1370,384,1,21,20,21,24,11,42,221,224,20,107,130,2240,75968,272704,0,0,0,0
19-20:59:16,114.242.249.62,3,524832,0,384,0,21,18,20,23,18,38,220,223,20,98,134,38976,135381,373440,0,0,0,0
19-20:59:17,114.242.249.62,3,524832,0,384,0,22,19,20,22,15,38,220,222,20,100,138,11776,120739,257408,0,0,0,0
19-20:59:17,114.242.249.62,3,524832,1370,384,1,22,19,21,24,16,38,221,224,20,107,134,2240,80304,216192,0,0,0,0
19-20:59:18,114.242.249.62,3,524832,0,384,0,22,20,22,23,19,40,221,223,20,94,182,36480,129472,203392,0,0,0,0
19-20:59:18,114.242.249.62,3,524832,255,386,1,22,20,22,24,17,40,221,224,20,100,150,84608,121208,204352,0,0,0,0
19-20:59:19,114.242.249.62,3,524832,0,384,0,22,19,20,22,12,38,220,222,20,112,128,4864,50017,131072,0,0,0,0
19-20:59:21,114.242.249.62,3,524832,1047,384,1,21,19,21,22,16,40,220,222,20,92,148,65472,111040,151936,0,0,0,0
19-20:59:22,114.242.249.62,3,524832,1047,384,1,21,19,21,22,15,38,220,222,20,101,134,35008,104377,142784,0,0,0,0
19-20:59:23,114.242.249.62,3,524832,1047,384,1,21,19,21,22,18,40,220,222,20,92,154,67904,132022,189696,0,0,0,0
19-20:59:24,114.242.249.62,3,524832,0,384,0,21,18,20,21,17,38,220,221,20,108,156,14592,108518,172800,0,0,0,0
19-20:59:25,114.242.249.62,3,524832,1047,384,1,21,19,20,22,13,38,220,222,20,98,120,4992,64758,131072,0,0,0,0
19-20:59:26,114.242.249.62,3,524832,1370,384,1,21,18,20,22,14,38,220,222,20,111,131,2240,58692,131072,0,0,0,0
19-20:59:28,114.242.249.62,3,524832,0,384,0,21,20,21,23,12,40,220,223,20,110,130,3648,56260,131072,0,0,0,0
19-20:59:29,114.242.249.62,3,524832,1370,384,1,22,19,20,22,12,38,220,222,20,110,134,2240,59063,131072,0,0,0,0
19-20:59:30,114.242.249.62,3,524832,0,384,0,22,20,22,24,17,42,221,224,20,94,162,3648,92080,199360,0,0,0,0
19-20:59:31,114.242.249.62,3,524832,1370,384,1,23,20,22,24,16,40,221,224,20,109,138,2368,77994,133056,0,0,0,0
19-20:59:32,114.242.249.62,3,524832,1047,384,1,23,20,21,23,13,40,221,223,20,107,134,6400,79557,180608,0,0,0,0
19-20:59:33,114.242.249.62,3,524832,1047,384,1,23,20,21,24,12,42,221,224,20,107,152,7744,116851,224576,0,0,0,0
19-20:59:34,114.242.249.62,3,524832,0,384,0,22,20,22,23,15,40,221,223,20,108,129,4992,61188,131072,0,0,0,0
19-20:59:35,114.242.249.62,3,524832,0,384,0,22,20,21,23,16,42,221,223,20,102,142,39680,104234,145856,0,0,0,0
19-20:59:36,114.242.249.62,3,524832,1047,384,1,22,20,22,23,16,40,221,223,20,107,134,5248,83797,131072,0,0,0,0
19-20:59:37,114.242.249.62,3,524832,0,384,0,22,19,20,22,14,38,220,222,20,95,154,58560,112568,169088,0,0,0,0
19-20:59:38,114.242.249.62,3,524832,0,384,0,22,19,20,22,13,38,220,222,20,100,128,7040,82530,131072,0,0,0,0
19-20:59:40,114.242.249.62,3,524832,1047,384,1,22,19,21,23,17,40,221,223,20,100,184,65472,137170,223808,0,0,0,0
19-20:59:40,114.242.249.62,3,524832,0,384,0,22,19,20,23,15,38,220,223,20,104,156,9344,104512,186304,0,0,0,0
19-20:59:41,114.242.249.62,3,524832,0,384,0,21,20,21,23,16,40,221,223,20,97,150,9344,116776,257408,0,0,0,0
19-20:59:42,114.242.249.62,3,524832,0,384,0,21,20,21,22,16,42,221,222,20,97,174,65472,119853,235648,0,0,0,0
19-20:59:42,114.242.249.62,3,524832,1047,384,1,21,20,21,23,16,42,221,223,20,101,152,15936,111025,163840,0,0,0,0
19-20:59:43,114.242.249.62,3,524832,1047,384,1,21,19,20,22,14,40,220,222,20,101,140,7296,110220,158976,0,0,0,0
19-20:59:44,114.242.249.62,3,524832,3787,384,3,21,19,20,22,11,40,219,222,20,116,132,1664,35900,136640,0,0,0,0
19-20:59:46,114.242.249.62,3,524832,1047,384,1,21,19,21,22,14,38,220,222,20,109,140,3648,73024,140224,0,0,0,0
19-20:59:47,114.242.249.62,3,524832,2417,384,2,21,20,21,23,10,40,220,223,20,109,134,2240,61741,131072,0,0,0,0
19-20:59:49,114.242.249.62,3,524832,0,384,0,21,19,21,23,16,40,220,223,20,114,130,3648,46195,131072,0,0,0,0
