time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:00:2,111.192.139.215,3,1319726,0,973,0,40,17,49,97,50,104,248,297,20,160,244,76544,191431,263936,0,0,0,0
19-00:00:2,111.192.139.215,3,1319732,909,973,1,48,13,49,123,33,142,248,323,20,150,243,81664,213350,263936,0,0,0,0
19-00:00:14,114.248.111.113,3,1332175,0,927,0,12,12,46,155,28,142,245,355,20,114,397,81600,300854,528576,0,0,0,0
19-00:00:18,114.246.121.141,127,1043776,0,770,0,216,65,157,226,338,867,874,1083,20,114,235,81600,368800,1017280,0,0,0,0
19-00:00:20,114.246.121.141,127,1409255,0,1039,0,216,54,236,562,281,867,884,1083,20,154,264,81600,351736,528576,0,0,0,0
19-00:00:46,111.193.52.143,3,1171629,665280,815,462,0,772,2458,11318,1064,18818,4374,67806,20,66,152,87616,290514,522880,2,0,2,0
19-00:01:55,111.194.243.141,3,1298046,28560,957,21,32,32,279,457,98,330,539,789,20,62,108,81600,417235,571200,0,0,2,0
19-00:04:38,61.51.255.29,3,1025509,119680,758,88,12,12,37,121,17,47,237,321,20,105,389,81600,284032,522944,0,0,1,0
19-00:04:48,111.192.2.215,3,1319732,523200,975,389,17,17,21,34,14,34,221,234,20,122,331,81600,357302,833216,0,0,1,0
19-00:04:48,111.192.2.215,3,1319726,314419,972,232,16,16,22,34,12,32,221,234,20,103,246,81600,472472,1003712,0,0,1,0
19-00:05:43,114.244.207.57,3,1319726,44880,973,33,81,31,81,163,44,164,281,363,20,76,130,81600,361140,522944,0,0,3,0
19-00:08:0,114.255.183.58,3,1049120,13140,723,9,13,13,14,16,6,26,213,216,20,56,207,128,57368,344576,0,0,0,0
19-00:11:17,111.197.107.196,3,1123318,1186344,828,873,14,13,17,24,19,48,233,735,5,25,67,81664,248931,263936,12,0,9,3
19-00:12:5,114.248.100.235,3,1492896,129200,1100,95,12,12,38,108,18,176,238,308,20,136,244,81664,221649,263936,0,0,2,0
19-00:12:5,114.248.100.235,3,1492902,89760,1101,66,12,12,37,116,11,173,236,316,20,103,243,81664,224938,263936,0,0,2,0
19-00:12:13,114.246.218.38,3,1319732,29920,972,22,16,16,54,110,70,268,269,390,20,114,224,81600,361849,522944,0,0,1,0
19-00:12:13,114.246.218.38,3,1319726,85763,973,64,17,17,43,116,43,214,244,316,20,106,220,81600,418854,669120,0,0,1,0
19-00:13:7,114.248.230.154,3,1330185,13600,982,10,14,14,57,79,39,100,257,279,20,47,52,31232,360997,930944,0,0,1,0
19-00:13:7,114.248.230.154,3,1330178,16208,979,12,15,15,57,79,44,107,257,279,20,47,51,38144,350968,890176,0,0,1,0
19-00:13:33,123.122.109.232,3,1184047,16320,874,12,16,16,47,83,19,110,247,283,20,133,286,81600,351431,522944,0,0,1,0
19-00:13:33,123.122.109.232,3,1184040,16320,873,12,32,14,26,77,21,70,226,277,9,31,63,81600,517178,965632,0,0,2,0
19-00:13:44,111.196.113.52,3,1123371,14960,827,11,24,23,377,2855,321,3391,1709,6575,7,30,49,13696,724329,1047296,2,1,2,0
19-00:14:45,114.252.67.34,3,1101736,0,814,0,11,11,42,87,21,97,242,287,20,131,193,81664,167338,197120,0,0,0,0
19-00:14:45,114.252.67.34,3,1101729,0,812,0,12,12,46,88,13,76,245,288,20,138,195,81664,168732,198656,0,0,0,0
19-00:16:38,111.201.230.252,3,1418328,380800,1044,280,15,15,42,133,26,60,241,333,20,188,406,81600,333360,539264,0,0,1,0
19-00:16:38,111.201.230.252,3,1418334,277440,1046,204,13,13,54,138,27,77,253,338,20,126,332,81600,406067,685440,0,0,1,0
19-00:18:47,114.240.185.209,3,1298046,195840,957,144,14,14,182,2211,378,2214,1685,7226,5,65,111,13632,423744,522944,1,0,1,1
19-00:27:35,111.197.223.245,3,1232377,174080,908,128,38,38,157,741,123,461,521,1836,20,91,200,81600,386816,584832,1,0,2,0
19-00:27:35,111.197.223.245,3,1232371,146880,907,108,38,38,181,530,108,391,595,1619,18,91,210,81600,391141,522944,1,0,3,0
19-00:28:10,114.240.189.113,48,1319732,92480,972,68,14,14,96,506,54,547,550,1315,20,94,155,81600,395845,522944,1,1,1,0
19-00:28:10,114.240.189.113,3,1319726,91120,972,67,16,16,83,501,57,364,466,1303,19,75,107,81600,444556,592960,1,1,1,0
19-00:29:47,61.149.31.133,3,1464022,19040,1080,14,18,18,25,33,15,48,224,233,20,40,44,81600,462444,522944,0,0,1,0
19-00:34:50,123.122.33.85,3,1319732,353501,973,260,17,16,25,40,15,52,225,240,9,104,181,81600,374790,522944,0,0,1,0
19-00:34:50,123.122.33.85,3,1319726,156400,972,115,17,17,26,41,16,52,226,241,6,109,184,81600,370675,522944,0,0,1,0
19-00:38:29,123.115.171.100,47,1232371,519520,908,382,13,13,199,511,214,1293,846,1886,5,20,63,81600,437672,612032,8,0,7,2
19-00:38:29,123.115.169.7,32,1232377,379440,909,279,90,62,236,657,212,835,770,1482,5,14,50,81600,410263,522944,12,0,11,2
19-00:39:14,123.114.152.111,3,1435721,2720,1057,2,14,14,192,479,71,478,563,1005,20,141,198,81664,175662,198656,0,0,0,0
19-00:39:23,123.120.159.16,3,1086577,0,800,0,12,12,31,73,15,45,231,273,20,131,294,81600,342400,522944,0,0,0,0
19-00:42:9,123.118.106.182,3,1310518,115600,965,85,13,13,186,521,61,428,511,1031,20,157,336,81600,336136,652800,0,0,1,0
19-00:42:9,123.118.106.182,3,1310524,102000,966,75,11,11,172,508,74,322,471,986,20,132,331,81600,330192,726272,0,0,1,0
19-00:42:13,114.250.27.179,3,1050379,96,774,2,18,18,644,2358,262,1094,1228,3452,20,149,427,13696,333074,1047296,0,0,0,0
19-00:42:13,114.250.27.179,3,1050372,2720,773,2,15,15,560,2389,229,945,1013,3334,20,159,431,13696,350939,1047296,0,0,0,0
19-00:44:57,114.254.98.55,3,1108635,0,818,0,17,17,25,63,20,102,224,263,20,93,341,81600,239001,528576,0,0,0,0
19-00:48:36,61.148.244.68,3,1329180,0,972,0,28,28,89,320,30,68,289,520,20,176,430,82240,317705,522944,0,0,0,0
19-00:52:7,123.117.142.99,3,1443932,12240,1063,9,16,16,40,84,28,138,240,284,20,123,228,81600,379155,522944,0,0,1,0
19-00:52:7,123.117.142.99,3,1443939,20400,1065,15,17,17,43,90,24,99,243,290,20,109,158,81600,429074,522944,0,0,1,0
19-00:51:22,123.115.32.227,3,1424566,132162,1050,99,16,16,1105,3835,1479,6900,4030,10735,6,25,40,81600,474563,522944,3,2,3,0
19-00:54:12,111.197.173.197,3,1221723,452880,900,333,0,394,11439,41777,5899,23490,18705,120000,20,159,434,61248,281322,522944,1,0,0,0
