time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:00:10,61.148.242.120,3,10028184,0,7164,0,33,25,198,705,25,125,397,905,20,627,1544,14848,1074453,2097152,0,0,0,0
19-00:00:11,61.148.242.120,3,10028192,2800,7164,2,0,38,392,828,118,620,788,1263,20,634,1545,14848,1141169,2095872,0,0,0,0
19-00:01:42,111.199.216.197,3,10028184,289680,7376,213,14,14,102,485,74,487,359,1303,20,268,434,1408,487444,1048576,1,0,3,0
19-00:01:42,111.199.216.197,3,10028192,341360,7376,251,15,15,108,492,68,438,364,1312,20,262,434,7168,518677,1048576,1,0,3,0
19-00:02:30,123.121.29.233,3,10363367,364480,7622,268,13,13,65,112,15,91,264,312,20,49,106,81600,517221,595712,1,0,6,0
19-00:02:30,123.121.29.233,3,10363374,374000,7623,275,12,12,61,114,14,66,261,314,7,44,141,81600,716430,742592,3,0,10,0
19-00:03:23,123.118.122.180,3,10491218,27360,7288,19,12,12,26,116,23,254,230,365,20,214,223,3456,46979,522944,0,0,1,0
19-00:01:37,123.121.110.37,127,10140750,2167840,7458,1594,16,16,1778,11765,447,12289,4600,24054,2,159,512,13632,655334,881280,7,0,6,1
19-00:01:37,123.121.110.37,75,10140743,1285200,7458,945,17,17,1293,10465,550,15900,3770,26365,5,76,433,13632,616203,701760,10,0,13,1
19-00:05:11,123.112.154.95,3,10431161,0,7673,0,14,14,425,1099,95,666,819,1645,20,433,567,81600,576837,701760,0,0,0,0
19-00:05:11,123.112.154.95,3,10431153,5440,7671,4,13,13,330,1095,87,722,716,1716,20,289,439,81600,785017,1048576,0,0,1,0
19-00:06:9,125.33.241.101,3,10373586,193120,7631,142,20,17,66,172,46,229,268,401,20,72,137,67072,869787,1048576,0,0,6,0
19-00:06:20,111.199.187.7,3,10237216,12600,7314,9,21,18,22,37,12,85,221,237,20,214,272,1472,109100,415232,0,0,0,0
19-00:06:34,114.249.206.206,3,10911407,27200,8026,20,44,23,61,97,18,177,260,297,20,82,121,81664,195964,198656,0,0,4,0
19-00:06:34,114.249.206.206,3,10911414,50320,8026,37,44,20,58,93,19,177,257,293,20,75,121,81664,194683,197120,1,0,4,0
19-00:06:19,114.245.242.206,3,10631741,1452480,7818,1068,0,44,406,901,73,552,729,1500,5,114,237,13632,520921,796992,3,0,7,2
19-00:07:14,114.246.218.38,3,10028184,204000,7376,150,16,16,122,517,35,289,342,843,5,140,305,81600,923565,1048576,1,0,7,1
19-00:07:28,61.149.201.144,3,10491218,243440,7715,179,16,16,42,136,17,82,241,336,20,236,350,10112,146429,563072,0,0,3,0
19-00:07:14,114.246.218.38,3,10028192,478720,7376,352,16,16,101,476,44,385,312,836,7,71,246,81600,505911,522944,1,0,4,0
19-00:07:56,114.255.183.58,3,10907172,0,7473,0,13,13,24,96,7,26,224,296,20,415,1770,14720,556872,2514176,0,0,0,0
19-00:08:43,111.194.202.146,3,10491218,163200,7715,120,15,15,49,106,15,66,249,306,20,161,426,27776,309669,522944,1,0,2,0
19-00:09:1,125.34.120.92,3,10557830,2720,7764,2,12,12,116,290,23,328,365,581,20,356,433,13632,450990,522944,0,0,0,0
19-00:09:13,123.121.140.145,3,10911407,552160,8025,406,20,20,104,303,78,338,345,747,20,308,680,1408,704660,1048576,0,0,2,0
19-00:11:9,123.112.154.95,3,10958695,1360,8059,1,43,43,426,1126,125,1002,999,2189,20,446,642,81600,650257,805120,0,0,0,0
19-00:11:9,123.112.154.95,3,10958703,3480,8061,5,64,29,166,1017,155,1445,539,2472,10,81,260,81600,675063,1048576,1,1,0,0
19-00:12:13,124.64.243.149,3,10911407,2720,8026,2,27,23,52,102,14,130,252,302,20,142,195,81664,194340,198656,0,0,2,0
19-00:12:41,114.248.96.159,126,10491218,1078480,7715,793,13,13,54,365,35,422,274,794,20,132,312,81600,475476,522944,2,0,3,0
19-00:14:47,61.50.141.20,3,10120270,1251200,7444,920,14,14,19,109,11,219,224,530,5,26,229,1664,974735,1048576,61,0,86,1
19-00:14:47,61.50.141.20,3,10120278,2244000,7444,1650,14,14,19,583,10,751,232,1334,6,20,354,19136,1006635,1048576,71,0,90,0
19-00:15:32,114.243.49.167,3,10996400,3308200,7856,2363,13,10,11,16,3,26,211,216,6,29,685,44800,164764,1670144,69,0,97,0
19-00:15:32,114.243.49.167,3,10996393,2521064,7855,1801,12,10,11,15,4,24,211,215,6,27,457,1280,164864,1446144,72,0,104,0
