time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:22:21,124.65.204.126,3,228416,7200,160,5,15,15,18,27,25,71,218,227,20,31,48,0,14135,60480,0,0,0,0
19-00:25:2,202.106.16.36,3,209211,17520,144,12,10,9,9,10,5,20,209,210,20,29,30,0,11567,17520,0,0,0,0
19-00:29:29,111.201.54.240,21,210433,564056,157,422,0,18492,0,19709,0,39418,0,87145,3,33,96,81664,123221,197120,2,0,1,1
19-00:32:1,202.106.16.36,3,209519,18980,144,13,9,9,9,10,9,18,209,210,20,29,30,0,11455,17520,0,0,0,0
19-00:52:1,202.106.16.36,3,209367,46720,144,32,10,9,9,10,6,20,209,315,13,29,30,0,12241,17520,1,0,0,0
19-01:14:28,114.245.44.67,3,246130,525600,174,365,14,14,6831,18152,3780,11086,13921,100462,6,20,43,87616,128153,216768,2,0,2,0
19-01:22:43,202.106.16.36,3,209519,7300,144,5,9,9,9,10,6,18,209,210,20,29,30,0,13027,17520,0,0,0,0
19-01:28:24,202.106.16.36,3,209519,112420,144,77,10,9,9,10,5,20,209,1062,13,29,30,0,11680,17520,1,0,0,0
19-01:28:40,202.106.16.36,3,209519,115340,144,79,9,9,9,9,6,18,209,1054,13,29,30,0,11680,17520,1,0,0,0
19-01:30:6,202.106.16.36,3,206599,42340,142,29,10,9,11,13,17,28,211,319,13,29,30,0,15573,17520,1,0,0,0
19-01:31:58,202.106.16.36,3,209519,58400,144,40,9,9,9,10,9,18,209,469,13,29,30,0,11455,17520,1,0,0,0
19-01:40:14,202.106.16.36,3,209367,21900,144,15,10,9,9,10,5,20,209,210,13,29,30,0,9546,17520,1,0,0,0
19-01:40:52,202.106.16.36,3,209367,16060,144,11,10,9,9,10,5,20,209,210,20,29,30,0,10893,17520,0,0,0,0
19-01:43:1,202.106.16.36,3,209519,94900,144,65,9,9,9,9,5,18,209,703,13,29,30,0,10332,17520,1,0,0,0
19-01:43:51,202.106.16.36,3,209211,74460,144,51,9,9,9,9,5,18,209,469,13,29,30,0,10220,17520,1,0,0,0
19-01:46:11,202.106.16.36,3,209519,23360,144,16,9,9,9,10,9,18,209,210,20,29,30,0,10107,17520,0,0,0,0
19-01:59:33,202.106.16.36,3,209519,106580,144,73,9,9,9,9,5,18,209,1054,13,29,30,0,13027,17520,1,0,0,0
19-02:02:41,202.106.16.36,3,209519,109500,144,75,10,9,9,10,5,20,209,1062,13,29,30,0,13027,17520,1,0,0,0
19-02:07:22,202.106.16.36,3,209519,7300,144,5,9,9,9,10,7,18,209,210,20,29,30,0,13027,17520,0,0,0,0
19-02:08:49,114.250.55.97,3,234363,255680,174,188,21,21,1718,6563,6454,39471,9133,97228,5,23,39,81664,262363,522240,3,1,0,1
19-02:18:18,202.106.16.36,3,209519,110960,144,76,9,9,9,10,9,18,209,1054,13,29,30,0,10107,17520,1,0,0,0
19-02:21:36,202.106.16.36,3,209519,103660,144,71,10,9,9,10,5,20,209,1062,13,29,30,0,11680,17520,1,0,0,0
19-02:23:30,202.106.16.36,3,209519,159140,144,109,9,9,9,9,5,18,209,2371,13,29,30,0,10332,17520,1,0,0,0
19-02:28:49,202.106.16.36,3,209519,18980,144,13,10,10,10,11,10,20,210,211,20,29,30,0,11455,17520,0,0,0,0
19-02:35:22,202.106.16.36,3,209519,24820,144,17,9,9,10,10,9,18,209,210,13,29,30,0,10107,17520,1,0,0,0
19-02:45:39,202.106.16.36,3,209519,45260,144,31,9,9,9,9,6,18,209,313,13,29,30,0,10332,17520,1,0,0,0
19-03:00:52,202.106.16.36,3,209367,46720,144,32,9,9,9,9,5,18,209,313,13,29,30,0,9546,17520,1,0,0,0
19-03:04:33,202.106.16.36,3,209211,54020,144,37,9,9,9,10,8,18,209,472,13,29,30,0,10220,17520,1,0,0,0
