time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:02:6,61.135.194.102,3,243786,296840,169,205,82,64,505,3588,1618,13333,2307,16921,2,15,30,14656,53913,104256,4,0,5,2
19-00:02:55,114.243.10.130,3,235648,1223,172,1,38,9,21,39,28,76,220,239,20,44,54,59876,184371,262080,0,0,0,0
19-00:06:7,182.48.117.2,3,225903,33580,156,23,7,6,11,23,15,31,211,223,19,27,40,262144,262144,262144,2,0,2,0
19-00:06:29,114.247.151.194,3,234583,0,171,0,3,3,4,6,5,8,204,206,20,50,69,64240,64240,64240,0,0,0,0
19-00:10:51,114.254.131.44,3,204443,180944,152,134,10,10,1033,2246,1036,4345,3511,6591,11,24,42,81600,114790,171392,2,0,2,0
19-00:12:0,114.244.176.135,3,213595,0,159,0,7,6,8,15,13,23,208,215,20,38,93,81600,108821,244800,0,0,0,0
19-00:14:4,202.106.16.36,3,209211,110960,144,76,8,8,8,9,6,16,208,1054,13,29,30,0,11567,17520,1,0,0,0
19-00:23:7,123.121.113.95,3,217778,0,161,0,4,4,5,7,10,17,205,207,20,38,54,44596,66240,66240,0,0,0,0
19-00:30:43,202.106.16.36,3,209519,74460,144,51,3,3,3,3,4,6,203,456,13,29,30,0,11455,17520,1,0,0,0
19-00:31:55,114.248.237.202,3,238628,105900,169,75,5,5,12,41,11,83,212,1216,13,25,44,14656,88054,172800,2,0,2,0
19-00:36:22,114.248.237.202,3,230156,4236,163,3,7,7,9,35,12,35,209,235,20,42,92,14656,52064,158656,0,0,1,0
19-00:39:6,202.106.16.36,3,209211,16060,144,11,9,9,9,9,5,18,209,209,20,29,30,0,11567,17520,0,0,0,0
19-00:41:31,202.106.16.36,3,209519,39420,144,27,9,9,9,10,9,18,209,313,13,29,30,0,11455,17520,1,0,0,0
19-00:43:12,114.246.97.10,3,239419,0,169,0,6,6,11,21,10,29,211,221,20,56,116,262040,262144,262144,0,0,0,0
19-00:43:32,116.213.171.156,3,219311,5867,152,5,8,8,29,83,18,79,229,283,20,38,68,14720,71577,151168,0,0,1,0
19-00:46:2,111.205.219.29,3,211030,0,148,0,3,3,7,13,11,20,207,213,20,40,70,64512,65331,65536,0,0,0,0
19-00:47:22,61.51.84.219,3,236294,31064,169,22,69,65,87,154,117,279,337,414,17,27,34,14720,118875,286848,1,0,2,0
19-00:52:30,123.120.63.116,6,249076,612177,177,432,0,19,48,92,89,184,248,292,6,15,30,16384,33177,53760,1,0,3,0
19-00:53:56,114.243.42.25,3,209383,7050,149,5,6,6,12,36,16,35,212,236,20,38,86,87616,118634,259648,0,0,1,0
19-00:54:14,123.121.148.62,3,221998,0,157,0,7,7,9,16,11,21,209,216,20,42,92,14720,52160,173056,0,0,0,0
19-00:54:32,202.106.16.36,3,209519,36500,144,25,4,3,4,4,4,8,203,306,13,29,30,0,11455,17520,1,0,0,0
19-01:05:46,61.148.226.50,3,206276,48588,142,39,97,97,965,2220,2690,4933,4493,6558,5,11,30,14720,133664,278528,5,0,3,1
19-01:07:27,202.106.16.36,3,209367,221920,144,152,3,3,3,3,3,6,203,5193,13,29,30,0,10893,17520,1,0,0,0
19-01:08:11,61.51.73.122,3,211753,97254,151,71,0,63,235,448,322,874,992,1322,6,20,30,87616,185947,366976,0,0,3,0
19-01:11:47,111.201.184.249,3,202539,5760,141,4,9,9,30,69,49,136,230,269,20,36,85,29248,50368,167488,0,0,0,0
19-01:11:47,111.201.184.249,3,216939,2880,151,2,8,8,22,121,45,143,222,321,20,37,103,29248,50368,207808,0,0,0,0
19-01:12:19,123.114.91.56,3,214959,0,149,0,9,8,10,22,13,20,210,222,20,39,91,29248,51498,171520,0,0,0,0
19-01:24:8,111.192.60.41,3,241418,0,173,0,42,42,45,53,49,84,245,253,20,46,68,63712,64620,64620,0,0,0,0
