time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:08:2,202.106.16.36,3,207907,102200,143,70,16,15,15,16,8,32,215,724,13,29,30,0,12775,17520,1,0,0,0
19-00:09:25,202.106.16.36,3,209519,10220,144,7,16,16,20,24,32,42,220,224,20,29,30,0,14824,17520,0,0,0,0
19-00:12:42,114.251.225.1,3,208219,526320,155,387,30,30,32,69,41,110,231,120000,2,35,56,81600,109717,165952,1,0,1,0
19-00:18:34,114.247.10.153,3,234279,0,181,0,99,99,121,151,107,198,321,351,20,43,95,14656,38425,98816,0,0,0,0
19-00:18:54,202.106.16.36,3,209715,97820,144,67,16,16,16,17,12,32,216,1095,13,29,30,0,10220,17520,1,0,0,0
19-00:23:17,61.149.192.79,3,241291,0,169,0,26,24,29,39,36,52,229,239,20,39,98,87616,118336,266176,0,0,0,0
19-00:36:16,124.64.26.4,3,201894,0,151,0,29,29,29,30,13,58,229,230,20,41,51,55140,66088,66364,0,0,0,0
19-00:36:46,114.252.87.62,3,220587,501393,163,371,44,44,804,1601,570,2741,2549,120000,7,26,34,81664,178730,263936,2,0,2,0
19-00:38:50,202.106.16.36,3,209519,17520,144,12,12,12,14,17,22,40,214,217,20,29,30,0,11455,17520,0,0,0,0
19-00:40:24,61.149.34.39,3,205586,1770485,146,1270,0,1598,2973,4052,1698,3059,10658,12514,3,10,30,262144,262144,262144,11,0,3,8
19-00:44:7,61.149.158.5,3,231339,299200,172,220,28,28,2910,6900,7743,22363,27789,120000,13,23,38,81600,227136,484160,6,2,0,0
19-00:46:51,202.106.16.36,3,209519,8760,144,6,16,16,20,22,29,38,219,222,20,29,30,0,12803,17520,0,0,0,0
19-00:48:6,114.253.5.233,3,204535,0,143,0,21,21,24,29,26,42,224,229,20,42,69,60624,65340,65340,0,0,0,0
19-00:58:35,202.106.16.36,3,209367,8760,144,6,16,16,16,17,11,32,216,217,20,29,30,0,12241,17520,0,0,0,0
19-01:00:58,123.121.246.39,3,206099,3059,144,3,47,47,98,281,175,691,610,1052,20,47,77,6912,36480,115456,0,0,0,0
