time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-00:03:25,123.117.197.174,3,2328801,84579,1654,62,78,28,45,78,17,156,244,278,6,26,88,87616,487333,525696,1,0,6,0
19-00:04:39,123.119.135.46,3,2162671,0,1505,0,21,21,23,25,7,42,222,225,20,64,68,58207,65325,65535,0,0,0,0
19-00:10:9,114.240.191.128,3,2207382,121604,1563,86,117,63,103,183,36,255,315,445,8,45,69,65700,226099,261340,0,0,4,0
19-00:17:31,114.240.120.190,3,2346120,44880,1727,33,106,32,74,522,55,526,369,1412,16,47,59,81600,761702,1048576,1,1,1,0
19-00:21:43,111.198.16.87,3,2406037,601120,1772,442,21,20,21,27,6,42,220,227,6,14,46,81600,452720,522944,20,0,31,0
19-00:21:43,111.198.16.87,3,2406030,417017,1782,312,31,31,32,39,6,62,232,239,8,16,38,81600,476062,522944,24,0,30,0
19-00:22:51,123.121.119.166,3,2346120,41760,1633,29,36,24,37,99,22,101,237,299,10,41,126,86400,470580,525760,0,0,2,0
19-00:27:51,123.124.147.47,3,2293936,420240,1689,309,29,29,79,224,32,182,278,424,20,135,268,81600,537979,1048576,0,0,2,0
19-00:27:51,123.124.147.47,3,2293942,276080,1690,203,30,30,65,198,45,216,270,414,20,103,188,81600,659495,1048576,0,0,2,0
19-00:40:14,114.252.87.62,3,2363528,1143944,1740,848,42,42,636,3263,272,4369,1971,7632,6,32,69,81664,252288,262400,3,0,6,0
19-00:50:13,123.116.70.36,3,2195382,100640,1617,74,28,28,51,87,18,56,251,287,20,199,383,81664,337322,525824,0,0,1,0
19-00:56:18,61.48.212.134,3,2252371,66640,1658,49,17,17,103,317,41,272,339,576,20,150,244,81664,232925,263936,0,0,2,0
19-00:56:18,61.48.212.134,3,2252377,136000,1659,100,27,27,111,331,37,295,364,621,20,144,241,81664,235279,262400,0,0,2,0
19-00:58:58,124.65.213.72,3,2466899,882720,1715,613,0,103,627,1795,256,1556,1306,3351,5,127,356,14720,545501,1047168,1,0,2,1
19-00:57:16,123.115.146.86,8,2193678,1139320,1525,794,0,40,2119,12768,2333,20407,7281,46921,5,20,61,14720,663465,1047168,14,2,11,3
19-01:01:42,111.192.138.212,3,2252377,107440,1659,79,28,28,86,158,36,106,285,358,20,63,146,81600,489733,579392,0,0,3,0
19-01:18:14,114.253.5.233,3,2429000,0,1675,0,26,26,31,41,9,52,231,241,20,65,68,54764,65340,65340,0,0,0,0
19-01:20:28,125.34.49.176,127,2163320,886720,1593,652,18,18,280,554,54,241,497,795,18,131,331,81600,426400,988096,1,0,2,0
19-01:20:28,125.34.49.176,21,2163327,269280,1594,198,94,56,144,562,72,536,398,1098,20,37,89,0,459140,1048576,1,0,2,0
19-01:36:18,114.246.45.225,3,2399773,0,1766,0,138,28,88,157,126,426,394,564,20,161,246,7360,381512,1039040,0,0,0,0
19-01:38:5,61.51.139.166,3,2263713,280160,1667,206,33,33,153,553,53,561,527,1116,20,86,204,13632,384815,522944,0,0,4,0
19-01:40:13,123.116.52.245,3,2297440,20160,1598,14,280,52,218,425,181,1123,630,1403,20,65,76,61540,83503,137240,0,0,1,0
19-01:47:4,111.192.251.195,6,2365225,887040,1645,616,41,32,46,122,40,523,282,645,5,30,180,17536,654158,785024,20,0,26,1
19-01:51:3,114.240.135.85,3,2424165,192027,1786,142,57,23,39,57,52,229,250,286,9,138,340,81600,510157,1048576,0,0,3,0
19-01:51:3,114.240.135.85,3,2424171,490960,1785,361,57,22,40,57,45,229,254,286,20,224,434,81600,403886,1048576,0,0,2,0
19-02:02:20,123.112.233.181,3,2252371,34000,1658,25,19,19,44,102,25,133,244,302,20,158,273,81600,464704,835072,0,0,1,0
19-02:11:18,114.246.217.69,3,2097699,57347,1459,42,62,40,70,353,68,683,315,1036,6,28,32,66048,258564,262144,0,0,3,0
19-02:16:40,114.240.131.91,3,2399773,228480,1768,168,84,30,95,200,84,338,359,423,20,169,312,81600,589445,1048576,0,0,2,0
19-02:17:0,114.248.87.141,3,2473265,87040,1822,64,23,21,56,182,17,164,261,397,20,214,505,13632,326086,620160,0,0,1,0
19-02:17:1,114.248.87.141,3,2473272,2720,1820,2,34,22,72,123,66,181,276,335,20,258,465,5760,252787,973760,0,0,0,0
19-02:25:4,114.245.74.26,3,2305021,74800,1698,55,23,23,48,131,31,85,247,331,20,119,200,81600,614848,900352,0,0,1,0
19-02:25:48,61.48.19.216,3,2346187,200960,1732,149,0,38,413,2358,434,1856,1603,5404,6,93,154,81600,576649,1048576,0,0,2,0
19-02:27:30,123.113.65.161,3,2401373,498773,1716,357,0,177,220,363,97,468,494,895,5,14,30,16800,236784,261800,22,0,40,3
19-02:28:45,61.135.194.220,3,2049438,74800,1509,55,38,38,136,285,52,175,336,485,20,242,509,81600,451507,1030912,0,0,1,0
19-02:34:13,111.201.157.239,3,2231439,933136,1596,667,28,27,28,31,6,56,228,231,6,13,30,65800,65800,65800,17,0,26,0
19-02:35:43,111.194.142.45,3,2252371,25840,1657,19,26,26,51,108,33,123,250,308,20,177,411,81600,430126,748032,0,0,1,0
19-02:35:44,111.194.142.45,3,2252377,17680,1659,13,49,26,32,91,19,120,231,291,20,49,55,81600,513432,598400,0,0,1,0
19-03:09:42,114.250.238.211,3,2047728,84216,1413,58,65,65,212,399,138,305,467,683,20,188,420,0,241989,607232,0,0,1,0
19-03:12:57,111.193.68.243,3,2461147,54872,1706,38,0,2151,11117,22407,1815,5767,15584,26507,20,205,409,87616,350893,522880,0,0,1,0
19-03:16:0,111.193.68.243,3,2090325,62092,1449,43,24,24,6975,21446,707,3369,8440,25025,20,189,409,87616,327597,522880,0,0,1,0
19-03:28:31,114.252.128.101,3,2452215,89872,1806,68,0,128,164,248,57,348,385,522,12,34,64,81600,482302,590272,4,0,7,0
19-03:28:30,114.252.128.101,3,2482456,103360,1828,76,0,118,157,259,64,270,366,697,2,24,62,81600,483489,522944,6,0,10,0
19-03:30:30,114.252.128.101,3,2464887,90160,1815,67,0,80,173,389,88,430,434,819,6,30,57,81600,484078,522944,2,0,7,0
19-03:30:30,114.252.128.101,3,2482456,91120,1828,67,0,41,153,387,67,392,403,715,11,25,66,81600,489881,522944,4,0,10,0
19-03:38:27,123.118.43.100,3,2195382,0,1616,0,25,25,67,120,27,225,281,410,20,189,367,81600,392133,522944,0,0,0,0
19-03:45:12,114.247.10.120,3,2045791,543400,1575,418,91,91,210,416,81,282,427,120000,20,60,63,27400,53381,55104,1,0,0,0
19-03:48:58,61.51.92.107,3,2473272,0,1822,0,23,23,115,276,115,271,344,509,20,168,324,0,414758,1048576,0,0,0,0
19-03:51:13,123.120.145.93,31,2346120,210737,1664,152,0,408,651,727,95,999,1023,1999,6,21,30,87616,460358,525312,11,0,12,0
19-03:51:13,123.120.145.93,61,2346120,497724,1664,356,0,229,605,704,97,985,936,1967,5,21,62,87616,570107,691904,17,0,17,2
19-04:04:12,123.114.238.143,3,2440777,2720,1796,2,27,27,124,367,39,345,356,720,20,225,433,81600,497512,1044480,0,0,1,0
19-04:20:35,123.118.48.178,3,2086796,52236,1535,39,67,67,324,2567,339,3381,1083,11512,7,34,91,13696,824218,1047296,3,2,0,0
19-04:22:1,114.240.90.49,3,2264827,151040,1575,105,39,29,32,47,13,62,232,247,9,17,55,226048,468198,16776960,23,0,26,0
19-04:31:58,114.253.110.79,3,2048030,323283,1507,238,22,22,1623,5519,930,5039,4544,120000,2,74,143,81664,236905,263936,1,0,4,0
19-04:36:55,114.245.232.180,3,2425515,234424,1785,178,28,28,460,2416,455,2464,1465,4880,5,32,135,81664,455988,525824,9,0,7,4
19-04:38:17,114.254.212.176,3,2473272,109955,1821,81,34,34,211,823,51,690,577,1587,20,182,315,81600,400597,522944,1,0,2,0
19-04:38:17,114.254.212.176,3,2473265,155590,1822,115,33,33,202,811,52,450,575,1780,20,196,330,81600,426328,557632,0,0,2,0
19-05:02:41,114.254.211.80,3,2252371,44880,1658,33,36,36,239,985,257,1290,847,120000,2,230,433,81600,364878,522944,1,0,1,0
19-05:23:58,124.64.26.196,3,2036682,416160,1501,306,30,30,61,117,23,60,260,317,20,223,434,48384,318361,525824,0,0,2,0
19-05:23:58,124.64.26.196,3,2036676,395760,1500,291,31,31,59,124,30,73,259,324,20,191,393,35584,308263,525824,0,0,2,0
19-05:29:35,123.116.169.169,3,2473265,0,1752,0,21,20,85,198,49,164,285,398,20,343,582,2112,340263,785024,0,0,0,0
