time,monitor_ip,reorder,trans_bytes,retrans_bytes,trans_pkts,retrans_pkts,rtt_first,rtt_min,rtt_avg,rtt_max,mdev_avg,mdev_max,rto_avg,rto_max,cwnd_min,cwnd_avg,cwnd_max,wnd_min,wnd_avg,wnd_max,disorder_times,cwr_times,rcvy_times,loss_times
19-23:59:59,123.122.252.117,3,10468395,2865520,7700,2107,35,30,52,207,13,72,252,407,6,112,436,81600,840980,1048576,1,0,6,0
19-23:59:59,123.122.252.117,3,10468402,1200880,7700,883,18,18,37,200,11,68,237,400,10,69,436,81600,605897,652800,2,0,9,0
19-00:03:30,123.120.227.245,3,10466251,0,7698,0,23,22,164,243,17,61,364,443,20,366,434,81600,464408,522944,0,0,0,0
19-00:02:52,114.245.235.176,3,10440492,38080,7679,28,24,24,434,1594,256,2162,1176,3241,6,55,243,81664,261064,263936,2,2,3,0
19-00:02:52,114.245.235.176,3,10440485,220763,7679,164,29,29,639,1853,251,1574,1535,120000,2,140,214,81664,256183,263936,2,0,4,0
19-00:06:8,123.116.202.9,3,10466251,738480,7698,543,27,18,42,201,36,400,274,623,12,107,244,81664,258824,263936,0,0,5,0
19-00:06:41,61.148.226.54,3,10440492,2720,7680,2,44,44,393,546,26,298,608,755,20,315,434,81600,797243,1048576,0,0,1,0
19-00:08:25,114.242.26.50,3,10440492,621788,7274,433,36,36,153,254,28,238,357,492,20,130,326,0,450930,525760,0,0,3,0
19-00:15:27,114.253.175.226,3,10491231,276080,7717,203,35,21,68,668,61,805,352,1698,5,126,323,15360,393220,522944,2,0,7,2
19-00:17:46,111.199.87.71,3,10239806,668672,10001,653,27,27,42,175,9,97,242,375,6,58,258,81664,196841,198400,14,0,28,0
19-00:17:46,111.199.87.71,3,10239798,196608,10001,192,27,27,40,174,11,125,239,374,9,34,98,81664,197513,198400,18,0,32,0
19-00:23:42,114.243.128.29,3,10440492,519216,7680,384,0,46,97,326,53,574,342,862,2,27,105,0,733213,980928,12,1,29,0
19-00:24:18,123.115.141.27,3,10440485,367200,7680,270,34,34,193,497,131,473,514,970,20,361,821,256,558875,1048576,0,0,3,0
19-00:26:40,111.197.113.9,3,10466251,0,7697,0,22,22,66,120,13,86,266,320,20,312,436,13632,364341,522944,0,0,0,0
19-00:27:33,111.193.106.122,3,10466251,894880,7697,658,29,29,558,2281,131,1756,1443,4462,17,216,436,13632,449254,522944,1,0,4,0
19-00:35:39,125.34.122.30,3,10466251,357680,7697,263,22,22,205,1231,107,1494,662,2887,5,175,435,13632,518144,639232,2,0,6,1
19-00:43:43,123.121.105.40,3,10466251,0,7699,0,28,28,48,95,20,123,248,295,20,220,244,256,220444,263936,0,0,0,0
19-00:46:44,123.113.158.228,3,10440485,1002320,7682,737,21,20,130,847,48,232,362,1080,20,272,821,0,479867,1048576,1,0,1,0
19-00:47:13,111.193.114.178,3,10466251,1988320,7697,1462,18,18,28,71,23,176,227,271,6,40,308,13696,884207,1047296,8,0,16,0
19-00:49:32,114.253.176.88,3,10466251,0,7209,0,37,32,224,581,43,686,571,1153,20,504,768,14720,752527,1047168,0,0,0,0
19-00:54:40,123.112.238.41,3,10440485,29920,7679,22,34,28,62,110,33,147,261,310,20,152,198,2432,530550,1048576,0,0,2,0
19-01:11:33,114.248.30.117,3,10440485,23120,7679,17,29,29,1947,5492,357,3559,3545,9051,20,226,243,81664,253550,263936,0,0,0,0
19-01:18:13,114.253.5.233,3,10428547,0,7184,0,24,22,26,38,5,48,226,238,20,67,68,43689,65295,65340,0,0,0,0
19-01:29:46,123.119.144.228,3,10259291,0,7546,0,24,24,157,474,37,451,427,890,20,480,716,81600,691369,905792,0,0,0,0
19-01:32:51,111.199.245.247,3,10409440,1360,7654,1,18,18,115,202,36,188,314,402,20,391,556,13440,424681,688192,1,0,1,0
